"Rank","Title","Subtitle","Author","Narrator","Length","Release","Language","Stars","Ratings","Price","URL"
"22","Ready Player One","","Ernest Cline","Wil Wheaton",940,2011-08-16,"English",5,234185,31.5,"https://www.audible.com/pd/Ready-Player-One-Audiobook/B005FRGT44?ref=a_adblbests_c3_lProduct_2_2&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=27W4DF9SKBJ83WHTZR8T"
"23","Where the Crawdads Sing","","Delia Owens","Cassandra Campbell",732,2018-08-14,"English",5,178407,31.5,"https://www.audible.com/pd/Where-the-Crawdads-Sing-Audiobook/B07FSNSLZ1?ref=a_adblbests_c3_lProduct_2_3&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=27W4DF9SKBJ83WHTZR8T"
"24","Think Like a Monk","Train Your Mind for Peace and Purpose Every Day","Jay Shetty","Jay Shetty",654,2020-09-08,"English",5,2335,24.49,"https://www.audible.com/pd/Think-Like-a-Monk-Audiobook/1797100548?ref=a_adblbests_c3_lProduct_2_4&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=27W4DF9SKBJ83WHTZR8T"
"25","The Subtle Art of Not Giving a F*ck","A Counterintuitive Approach to Living a Good Life","Mark Manson","Roger Wayne",317,2016-09-13,"English",4.5,136963,23.95,"https://www.audible.com/pd/The-Subtle-Art-of-Not-Giving-a-F-ck-Audiobook/B01I28NFEE?ref=a_adblbests_c3_lProduct_2_5&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=27W4DF9SKBJ83WHTZR8T"
"26","Harry Potter and the Order of the Phoenix, Book 5","","J.K. Rowling","Jim Dale",1589,2015-11-20,"English",5,69533,44.99,"https://www.audible.com/pd/Harry-Potter-and-the-Order-of-the-Phoenix-Book-5-Audiobook/B017V4NMX4?ref=a_adblbests_c3_lProduct_2_6&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=27W4DF9SKBJ83WHTZR8T"
"27","Harry Potter and the Prisoner of Azkaban, Book 3","","J.K. Rowling","Jim Dale",709,2015-11-20,"English",5,78163,29.99,"https://www.audible.com/pd/Harry-Potter-and-the-Prisoner-of-Azkaban-Book-3-Audiobook/B017V4JA2Q?ref=a_adblbests_c3_lProduct_2_7&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=27W4DF9SKBJ83WHTZR8T"
"28","Harry Potter and the Deathly Hallows, Book 7","","J.K. Rowling","Jim Dale",1297,2015-11-20,"English",5,104610,44.99,"https://www.audible.com/pd/Harry-Potter-and-the-Deathly-Hallows-Book-7-Audiobook/B017WJ5ZK6?ref=a_adblbests_c3_lProduct_2_8&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=27W4DF9SKBJ83WHTZR8T"
"29","Harry Potter and the Goblet of Fire, Book 4","","J.K. Rowling","Jim Dale",1237,2015-11-20,"English",5,75261,44.99,"https://www.audible.com/pd/Harry-Potter-and-the-Goblet-of-Fire-Book-4-Audiobook/B017V4NUPO?ref=a_adblbests_c3_lProduct_2_9&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=27W4DF9SKBJ83WHTZR8T"
"30","Harry Potter and the Half-Blood Prince, Book 6","","J.K. Rowling","Jim Dale",1112,2015-11-20,"English",5,64986,44.99,"https://www.audible.com/pd/Harry-Potter-and-the-Half-Blood-Prince-Book-6-Audiobook/B017V4NOZ0?ref=a_adblbests_c3_lProduct_2_10&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=27W4DF9SKBJ83WHTZR8T"
"31","The Law of Innocence","","Michael Connelly","Peter Giles",747,2020-11-10,"English",4.5,3634,30.79,"https://www.audible.com/pd/The-Law-of-Innocence-Audiobook/1549129007?ref=a_adblbests_c3_lProduct_2_11&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=27W4DF9SKBJ83WHTZR8T"
"32","Hillbilly Elegy","A Memoir of a Family and Culture in Crisis","J. D. Vance","J. D. Vance",409,2016-06-28,"English",4.5,47686,25.09,"https://www.audible.com/pd/Hillbilly-Elegy-Audiobook/B01EM4ZO14?ref=a_adblbests_c3_lProduct_2_12&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=27W4DF9SKBJ83WHTZR8T"
"33","Dune","","Frank Herbert","Scott Brick, Orlagh Cassidy, Euan Morton, Simon Vance, Ilyana Kadushin",1262,2006-12-31,"English",4.5,66120,47.93,"https://www.audible.com/pd/Dune-Audiobook/B002V1OF70?ref=a_adblbests_c3_lProduct_2_13&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=27W4DF9SKBJ83WHTZR8T"
"34","The Guest List","A Novel","Lucy Foley","Jot Davies, Chloe Massey, Olivia Dowd, Aoife McMahon, Sarah Ovens, Rich Keeble",622,2020-06-02,"English",4.5,12328,30.79,"https://www.audible.com/pd/The-Guest-List-Audiobook/0062985051?ref=a_adblbests_c3_lProduct_2_14&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=27W4DF9SKBJ83WHTZR8T"
"35","Rapid Weight Loss Hypnosis for Women: Rapid Weight Loss with Powerful Hypnosis, Positive Affirmations, Motivation, and Meditation","Slim Down Naturally, Stop Emotional Eating & Stop Sugar Cravings","Michelle Guise","Main Studio, Alpha Studio, Light Studio, Zeis Studio",486,2020-07-28,"English",4.5,107,19.95,"https://www.audible.com/pd/Rapid-Weight-Loss-Hypnosis-for-Women-Rapid-Weight-Loss-with-Powerful-Hypnosis-Positive-Affirmations-Motivation-and-Meditation-Audiobook/B08DTQZPTT?ref=a_adblbests_c3_lProduct_2_15&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=27W4DF9SKBJ83WHTZR8T"
"36","Badass Habits","Cultivate the Awareness, Boundaries, and Daily Upgrades You Need to Make Them Stick","Jen Sincero","Jen Sincero",291,2020-12-01,"English",4.5,22,24.5,"https://www.audible.com/pd/Badass-Habits-Audiobook/1984886169?ref=a_adblbests_c3_lProduct_2_16&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=27W4DF9SKBJ83WHTZR8T"
"37","Midnight Sun","","Stephenie Meyer","Jake Abel",1549,2020-08-04,"English",4.5,12921,34.21,"https://www.audible.com/pd/Midnight-Sun-Audiobook/1549134663?ref=a_adblbests_c3_lProduct_2_17&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=27W4DF9SKBJ83WHTZR8T"
"38","Tom Clancy Shadow of the Dragon","A Jack Ryan Novel, Book 20","Marc Cameron","Scott Brick",790,2020-11-17,"English",4.5,540,35,"https://www.audible.com/pd/Tom-Clancy-Shadow-of-the-Dragon-Audiobook/0593287371?ref=a_adblbests_c3_lProduct_2_18&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=27W4DF9SKBJ83WHTZR8T"
"39","Anxious People","A Novel","Fredrik Backman","Marin Ireland",593,2020-09-08,"English",4.5,4442,20.99,"https://www.audible.com/pd/Anxious-People-Audiobook/1797105833?ref=a_adblbests_c3_lProduct_2_19&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=27W4DF9SKBJ83WHTZR8T"
"40","Rich Dad Poor Dad","What the Rich Teach Their Kids About Money - That the Poor and Middle Class Do Not!","Robert T. Kiyosaki","Tim Wheeler",369,2012-06-15,"English",5,59515,24.99,"https://www.audible.com/pd/Rich-Dad-Poor-Dad-Audiobook/B008BT3C1Q?ref=a_adblbests_c3_lProduct_2_20&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=27W4DF9SKBJ83WHTZR8T"
"41","The Way of Kings","The Stormlight Archive, Book 1","Brandon Sanderson","Kate Reading, Michael Kramer",2730,2010-08-31,"English",5,74272,63.93,"https://www.audible.com/pd/The-Way-of-Kings-Audiobook/B003ZWFO7E?ref=a_adblbests_c3_lProduct_3_1&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=W5P8DMN6G8WWJ55YYNXG"
"42","Find Me","Inland Empire, Book 1","Anne Frasier","Erin Bennett",556,2020-07-01,"English",4.5,971,25.19,"https://www.audible.com/pd/Find-Me-Audiobook/1713502615?ref=a_adblbests_c3_lProduct_3_2&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=W5P8DMN6G8WWJ55YYNXG"
"43","Born a Crime","Stories from a South African Childhood","Trevor Noah","Trevor Noah",524,2016-11-15,"English",5,172701,24.95,"https://www.audible.com/pd/Born-a-Crime-Audiobook/B01IW9TQPK?ref=a_adblbests_c3_lProduct_3_3&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=W5P8DMN6G8WWJ55YYNXG"
"44","The Searcher","A Novel","Tana French","Roger Clark",872,2020-10-06,"English",4.5,3315,31.5,"https://www.audible.com/pd/The-Searcher-Audiobook/1984838032?ref=a_adblbests_c3_lProduct_3_4&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=W5P8DMN6G8WWJ55YYNXG"
"45","The Chronicles of Narnia Adult Box Set","","C. S. Lewis","Kenneth Branagh, Alex Jennings, Michael York, Lynn Redgrave, Derek Jacobi, Jeremy Northam, Patrick Stewart",2025,2019-12-27,"English",5,4365,53.61,"https://www.audible.com/pd/The-Chronicles-of-Narnia-Adult-Box-Set-Audiobook/0061999881?ref=a_adblbests_c3_lProduct_3_5&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=W5P8DMN6G8WWJ55YYNXG"
"46","The Invisible Life of Addie LaRue","","V. E. Schwab","Julia Whelan",1030,2020-10-06,"English",4.5,3117,46.89,"https://www.audible.com/pd/The-Invisible-Life-of-Addie-LaRue-Audiobook/125077795X?ref=a_adblbests_c3_lProduct_3_6&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=W5P8DMN6G8WWJ55YYNXG"
"47","Forgiving What You Can't Forget","Discover How to Move On, Make Peace with Painful Memories, and Create a Life That's Beautiful Again","Lysa TerKeurst","Lysa TerKeurst",487,2020-11-17,"English",4.5,88,27.37,"https://www.audible.com/pd/Forgiving-What-You-Cant-Forget-Audiobook/1400217334?ref=a_adblbests_c3_lProduct_3_7&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=W5P8DMN6G8WWJ55YYNXG"
"48","The Stand","","Stephen King","Grover Gardner",2867,2012-02-14,"English",4.5,51565,63,"https://www.audible.com/pd/The-Stand-Audiobook/B0077DEH7A?ref=a_adblbests_c3_lProduct_3_8&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=W5P8DMN6G8WWJ55YYNXG"
"49","Brushfire","Expeditionary Force, Book 11","Craig Alanson","R.C. Bray",1242,2020-12-15,"English",NA,NA,49.99,"https://www.audible.com/pd/Brushfire-Audiobook/1774246325?ref=a_adblbests_c3_lProduct_3_9&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=W5P8DMN6G8WWJ55YYNXG"
"50","Writing Prompt Journal","The Self-Exploration Way to Make Your Every Day a Masterpiece - A Journey of 201 Thought-Provoking Questions for Self-Discovery & Building Trust to Find Your Bliss","Jason Dyer","Cliff Weldon",315,2020-07-28,"English",5,130,19.95,"https://www.audible.com/pd/Writing-Prompt-Journal-Audiobook/B08DRVVF5G?ref=a_adblbests_c3_lProduct_3_10&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=W5P8DMN6G8WWJ55YYNXG"
"51","Ten Lessons for a Post-Pandemic World","","Fareed Zakaria","Fareed Zakaria",444,2020-10-06,"English",5,373,20.99,"https://www.audible.com/pd/Ten-Lessons-for-a-Post-Pandemic-World-Audiobook/1797118099?ref=a_adblbests_c3_lProduct_3_11&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=W5P8DMN6G8WWJ55YYNXG"
"52","Never Split the Difference","Negotiating as if Your Life Depended on It","Chris Voss","Michael Kramer",487,2016-05-17,"English",5,46734,27.37,"https://www.audible.com/pd/Never-Split-the-Difference-Audiobook/B01CF5O89G?ref=a_adblbests_c3_lProduct_3_12&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=W5P8DMN6G8WWJ55YYNXG"
"53","Talking to Strangers","What We Should Know About the People We Don't Know","Malcolm Gladwell","Malcolm Gladwell",522,2019-09-10,"English",4.5,54972,30.79,"https://www.audible.com/pd/Talking-to-Strangers-Audiobook/1549150340?ref=a_adblbests_c3_lProduct_3_13&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=W5P8DMN6G8WWJ55YYNXG"
"54","The Fellowship of the Ring","Book One in The Lord of the Rings Trilogy","J. R. R. Tolkien","Rob Inglis",1147,2012-10-09,"English",5,46198,38.49,"https://www.audible.com/pd/The-Fellowship-of-the-Ring-Audiobook/B0099RKRTY?ref=a_adblbests_c3_lProduct_3_14&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=W5P8DMN6G8WWJ55YYNXG"
