"Rank","Title","Subtitle","Author","Narrator","Length","Release","Language","Stars","Ratings","Price"
"76","The Meaning of Mariah Carey",NA,"Mariah Carey","Mariah Carey","11 hrs and 17 mins","09-29-20","English","5 out of 5 stars","5,035 ratings","$34.95"
"77","The Way of Kings","The Stormlight Archive, Book 1","Brandon Sanderson","Kate Reading, Michael Kramer","45 hrs and 30 mins","08-31-10","English","5 out of 5 stars","73,172 ratings","$63.93"
"78","The Practice","Shipping Creative Work","Seth Godin","Seth Godin","5 hrs and 38 mins","11-03-20","English","5 out of 5 stars","21 ratings","$28.00"
"79","Is This Anything?",NA,"Jerry Seinfeld","Jerry Seinfeld","6 hrs and 19 mins","10-06-20","English","4.5 out of 5 stars","452 ratings","$20.99"
"80","Mount Fitz Roy",NA,"Scott Sigler","Ray Porter","29 hrs and 27 mins","12-03-20","English",NA,"Not rated yet","$49.95"
"81","The Parasitic Mind","How Infectious Ideas Are Killing Common Sense","Gad Saad","Jim Meskimen","7 hrs and 36 mins","10-06-20","English","5 out of 5 stars","361 ratings","$20.97"
"82","Daylight",NA,"David Baldacci","Brittany Pressley, Kyf Brewer","11 hrs and 37 mins","11-17-20","English",NA,"Not rated yet","$30.79"
"83","A Kingdom of Flesh and Fire","A Blood and Ash Novel (Blood and Ash, Book 2)","Jennifer L. Armentrout","Stina Nielsen","24 hrs and 21 mins","11-03-20","English","5 out of 5 stars","69 ratings","$30.09"
"84","Rage",NA,"Bob Woodward","Robert Petkoff","13 hrs and 22 mins","09-15-20","English","5 out of 5 stars","7,448 ratings","$27.99"
"85","White Fragility","Why It's So Hard for White People to Talk About Racism","Robin DiAngelo, Michael Eric Dyson - foreword","Amy Landon","6 hrs and 21 mins","06-26-18","English","4.5 out of 5 stars","16,467 ratings","$28.00"
"86","Too Much and Never Enough","How My Family Created the World's Most Dangerous Man","Mary L. Trump PhD","Mary L. Trump PhD","7 hrs and 5 mins","07-14-20","English","4.5 out of 5 stars","28,480 ratings","$18.89"
"87","The Giver of Stars","A Novel","Jojo Moyes","Julia Whelan","13 hrs and 52 mins","10-08-19","English","4.5 out of 5 stars","33,167 ratings","$31.50"
