"Rank","Title","Subtitle","Author","Narrator","Length","Release","Language","Stars","Ratings","Price","URL"
"35","Think Like a Monk","Train Your Mind for Peace and Purpose Every Day","Jay Shetty","Jay Shetty",654,2020-09-08,"English",5,2490,24.49,"https://www.audible.com/pd/Think-Like-a-Monk-Audiobook/1797100548?ref=a_adblbests_c3_lProduct_2_15&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=WTDGK4EH8H0WF1MKTRJQ"
"36","Ready Player One","","Ernest Cline","Wil Wheaton",940,2011-08-16,"English",5,234727,31.5,"https://www.audible.com/pd/Ready-Player-One-Audiobook/B005FRGT44?ref=a_adblbests_c3_lProduct_2_16&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=WTDGK4EH8H0WF1MKTRJQ"
"37","The Body Keeps the Score","Brain, Mind, and Body in the Healing of Trauma","Bessel Van der Kolk MD","Sean Pratt",977,2014-09-25,"English",5,10930,24.49,"https://www.audible.com/pd/The-Body-Keeps-the-Score-Audiobook/B00OAOQJXY?ref=a_adblbests_c3_lProduct_2_17&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=WTDGK4EH8H0WF1MKTRJQ"
"38","The Sandman","","Neil Gaiman, Dirk Maggs","Riz Ahmed, Kat Dennings, Taron Egerton, Neil Gaiman, James McAvoy, Samantha Morton, Bebe Neuwirth, Andy Serkis, Michael Sheen",654,2020-07-15,"English",4.5,21066,34.95,"https://www.audible.com/pd/The-Sandman-Audiobook/B086WP794Z?ref=a_adblbests_c3_lProduct_2_18&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=WTDGK4EH8H0WF1MKTRJQ"
"39","Brushfire","Expeditionary Force, Book 11","Craig Alanson","R.C. Bray",1158,2020-12-15,"English",NA,NA,49.99,"https://www.audible.com/pd/Brushfire-Audiobook/1774246325?ref=a_adblbests_c3_lProduct_2_19&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=WTDGK4EH8H0WF1MKTRJQ"
"40","Rich Dad Poor Dad","What the Rich Teach Their Kids About Money - That the Poor and Middle Class Do Not!","Robert T. Kiyosaki","Tim Wheeler",369,2012-06-15,"English",5,59730,24.99,"https://www.audible.com/pd/Rich-Dad-Poor-Dad-Audiobook/B008BT3C1Q?ref=a_adblbests_c3_lProduct_2_20&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=WTDGK4EH8H0WF1MKTRJQ"
"41","Never Split the Difference","Negotiating as if Your Life Depended on It","Chris Voss","Michael Kramer",487,2016-05-17,"English",5,46872,27.37,"https://www.audible.com/pd/Never-Split-the-Difference-Audiobook/B01CF5O89G?ref=a_adblbests_c3_lProduct_3_1&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=11TBT5W29QJ0DCVGKBN8"
"42","Edge World","Undying Mercenaries, Book 14","B. V. Larson","Mark Boyett",974,2020-12-08,"English",5,116,39.99,"https://www.audible.com/pd/Edge-World-Audiobook/1774247674?ref=a_adblbests_c3_lProduct_3_2&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=11TBT5W29QJ0DCVGKBN8"
"43","The Power of Now","A Guide to Spiritual Enlightenment","Eckhart Tolle","Eckhart Tolle",457,2000-12-31,"English",4.5,28106,20,"https://www.audible.com/pd/The-Power-of-Now-Audiobook/B002V0PN36?ref=a_adblbests_c3_lProduct_3_3&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=11TBT5W29QJ0DCVGKBN8"
"44","Dune","","Frank Herbert","Scott Brick, Orlagh Cassidy, Euan Morton, Simon Vance, Ilyana Kadushin",1262,2006-12-31,"English",4.5,66452,47.93,"https://www.audible.com/pd/Dune-Audiobook/B002V1OF70?ref=a_adblbests_c3_lProduct_3_4&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=11TBT5W29QJ0DCVGKBN8"
"45","Midnight Sun","","Stephenie Meyer","Jake Abel",1549,2020-08-04,"English",4.5,13146,34.21,"https://www.audible.com/pd/Midnight-Sun-Audiobook/1549134663?ref=a_adblbests_c3_lProduct_3_5&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=11TBT5W29QJ0DCVGKBN8"
"46","Born a Crime","Stories from a South African Childhood","Trevor Noah","Trevor Noah",524,2016-11-15,"English",5,173070,24.95,"https://www.audible.com/pd/Born-a-Crime-Audiobook/B01IW9TQPK?ref=a_adblbests_c3_lProduct_3_6&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=11TBT5W29QJ0DCVGKBN8"
"47","The Stand","","Stephen King","Grover Gardner",2867,2012-02-14,"English",4.5,51773,63,"https://www.audible.com/pd/The-Stand-Audiobook/B0077DEH7A?ref=a_adblbests_c3_lProduct_3_7&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=11TBT5W29QJ0DCVGKBN8"
"48","The Way of Kings","The Stormlight Archive, Book 1","Brandon Sanderson","Kate Reading, Michael Kramer",2730,2010-08-31,"English",5,74621,63.93,"https://www.audible.com/pd/The-Way-of-Kings-Audiobook/B003ZWFO7E?ref=a_adblbests_c3_lProduct_3_8&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=11TBT5W29QJ0DCVGKBN8"
"49","Layla","","Colleen Hoover","Brian Pallino",490,2020-12-08,"English",4.5,92,25.19,"https://www.audible.com/pd/Layla-Audiobook/1713532131?ref=a_adblbests_c3_lProduct_3_9&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=11TBT5W29QJ0DCVGKBN8"
"50","The 7 Habits of Highly Effective People","Powerful Lessons in Personal Change","Stephen R. Covey","Stephen R. Covey",784,2003-12-28,"English",4.5,32237,28.3,"https://www.audible.com/pd/The-7-Habits-of-Highly-Effective-People-Audiobook/B002V5HAL4?ref=a_adblbests_c3_lProduct_3_10&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=11TBT5W29QJ0DCVGKBN8"
"51","Glory to the Brave","Ascend Online, Book 4","Luke Chmilenko","Luke Daniels",1877,2020-12-08,"English",5,57,59.99,"https://www.audible.com/pd/Glory-to-the-Brave-Audiobook/1774245000?ref=a_adblbests_c3_lProduct_3_11&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=11TBT5W29QJ0DCVGKBN8"
"52","The Law of Innocence","","Michael Connelly","Peter Giles",747,2020-11-10,"English",4.5,4194,30.79,"https://www.audible.com/pd/The-Law-of-Innocence-Audiobook/1549129007?ref=a_adblbests_c3_lProduct_3_12&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=11TBT5W29QJ0DCVGKBN8"
"53","Talking to Strangers","What We Should Know About the People We Don't Know","Malcolm Gladwell","Malcolm Gladwell",522,2019-09-10,"English",4.5,55159,30.79,"https://www.audible.com/pd/Talking-to-Strangers-Audiobook/1549150340?ref=a_adblbests_c3_lProduct_3_13&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=11TBT5W29QJ0DCVGKBN8"
"54","Extreme Ownership","How U.S. Navy SEALs Lead and Win","Jocko Willink, Leif Babin","Jocko Willink, Leif Babin",573,2015-10-19,"English",5,58139,27.99,"https://www.audible.com/pd/Extreme-Ownership-Audiobook/B015TVHUA2?ref=a_adblbests_c3_lProduct_3_14&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=11TBT5W29QJ0DCVGKBN8"
"55","How to Win Friends & Influence People","","Dale Carnegie","Andrew MacMillan",435,2004-09-16,"English",4.5,78956,31.93,"https://www.audible.com/pd/How-to-Win-Friends-Influence-People-Audiobook/B002V5BV96?ref=a_adblbests_c3_lProduct_3_15&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=11TBT5W29QJ0DCVGKBN8"
"56","Deadly Cross","Alex Cross, Book 28","James Patterson","Brad Sanders",523,2020-11-23,"English",4.5,437,30.79,"https://www.audible.com/pd/Deadly-Cross-Audiobook/1549128981?ref=a_adblbests_c3_lProduct_3_16&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=11TBT5W29QJ0DCVGKBN8"
"57","The Chronicles of Narnia Adult Box Set","","C. S. Lewis","Kenneth Branagh, Alex Jennings, Michael York, Lynn Redgrave, Derek Jacobi, Jeremy Northam, Patrick Stewart",2025,2019-12-27,"English",5,4452,53.61,"https://www.audible.com/pd/The-Chronicles-of-Narnia-Adult-Box-Set-Audiobook/0061999881?ref=a_adblbests_c3_lProduct_3_17&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=11TBT5W29QJ0DCVGKBN8"
"58","Pretty Things","A Novel","Janelle Brown","Julia Whelan, Lauren Fortgang, Hillary Huber",966,2020-04-21,"English",4.5,10041,31.5,"https://www.audible.com/pd/Pretty-Things-Audiobook/059321000X?ref=a_adblbests_c3_lProduct_3_18&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=11TBT5W29QJ0DCVGKBN8"
"59","Unfu*k Yourself","Get Out of Your Head and into Your Life","Gary John Bishop","Gary John Bishop",204,2017-08-01,"English",4.5,69165,20.52,"https://www.audible.com/pd/Unfu-k-Yourself-Audiobook/B0731R4RFX?ref=a_adblbests_c3_lProduct_3_19&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=11TBT5W29QJ0DCVGKBN8"
"60","Hillbilly Elegy","A Memoir of a Family and Culture in Crisis","J. D. Vance","J. D. Vance",409,2016-06-28,"English",4.5,47966,25.09,"https://www.audible.com/pd/Hillbilly-Elegy-Audiobook/B01EM4ZO14?ref=a_adblbests_c3_lProduct_3_20&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=11TBT5W29QJ0DCVGKBN8"
"61","Forgiving What You Can't Forget","Discover How to Move On, Make Peace with Painful Memories, and Create a Life That's Beautiful Again","Lysa TerKeurst","Lysa TerKeurst",487,2020-11-17,"English",4.5,123,27.37,"https://www.audible.com/pd/Forgiving-What-You-Cant-Forget-Audiobook/1400217334?ref=a_adblbests_c3_lProduct_4_1&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=RBCB1SJQQ5RZZP1FD3N0"
"62","The Invisible Life of Addie LaRue","","V. E. Schwab","Julia Whelan",1030,2020-10-06,"English",4.5,3515,46.89,"https://www.audible.com/pd/The-Invisible-Life-of-Addie-LaRue-Audiobook/125077795X?ref=a_adblbests_c3_lProduct_4_2&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=RBCB1SJQQ5RZZP1FD3N0"
"63","Arcanist","Spellmonger, Book 12","Terry Mancour","John Lee",1467,2020-12-01,"English",5,1022,49.99,"https://www.audible.com/pd/Arcanist-Audiobook/1774244993?ref=a_adblbests_c3_lProduct_4_3&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=RBCB1SJQQ5RZZP1FD3N0"
"64","The Alchemist","A Fable About Following Your Dream","Paulo Coelho","Jeremy Irons",240,2004-12-26,"English",4.5,56021,23.95,"https://www.audible.com/pd/The-Alchemist-Audiobook/B002V0Q4LG?ref=a_adblbests_c3_lProduct_4_4&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=RBCB1SJQQ5RZZP1FD3N0"
"65","48 Laws of Power","","Robert Greene","Richard Poe",1386,2015-05-01,"English",4.5,14849,24.49,"https://www.audible.com/pd/48-Laws-of-Power-Audiobook/B00WYDJ2YQ?ref=a_adblbests_c3_lProduct_4_5&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=RBCB1SJQQ5RZZP1FD3N0"
"66","The Two Towers","Book Two in the Lord of the Rings Trilogy","J. R. R. Tolkien","Rob Inglis",1000,2012-10-09,"English",5,34211,34.99,"https://www.audible.com/pd/The-Two-Towers-Audiobook/B009ABHTF4?ref=a_adblbests_c3_lProduct_4_6&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=RBCB1SJQQ5RZZP1FD3N0"
"67","The Searcher","A Novel","Tana French","Roger Clark",872,2020-10-06,"English",4.5,3551,31.5,"https://www.audible.com/pd/The-Searcher-Audiobook/1984838032?ref=a_adblbests_c3_lProduct_4_7&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=RBCB1SJQQ5RZZP1FD3N0"
"68","Sapiens","A Brief History of Humankind","Yuval Noah Harari","Derek Perkins",917,2017-08-15,"English",4.5,40079,34.22,"https://www.audible.com/pd/Sapiens-Audiobook/B0741G911Q?ref=a_adblbests_c3_lProduct_4_8&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=RBCB1SJQQ5RZZP1FD3N0"
"69","Think and Grow Rich","","Napoleon Hill","Erik Synnestvedt",575,2007-10-16,"English",4.5,22154,24.95,"https://www.audible.com/pd/Think-and-Grow-Rich-Audiobook/B002V5D950?ref=a_adblbests_c3_lProduct_4_9&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=RBCB1SJQQ5RZZP1FD3N0"
"70","The Best of Me","","David Sedaris","David Sedaris",788,2020-11-03,"English",4.5,494,30.79,"https://www.audible.com/pd/The-Best-of-Me-Audiobook/1549160761?ref=a_adblbests_c3_lProduct_4_10&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=RBCB1SJQQ5RZZP1FD3N0"
"71","The Return","","Nicholas Sparks","Kyf Brewer",596,2020-09-29,"English",4.5,3444,30.79,"https://www.audible.com/pd/The-Return-Audiobook/1478992670?ref=a_adblbests_c3_lProduct_4_11&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=RBCB1SJQQ5RZZP1FD3N0"
"72","Tom Clancy Shadow of the Dragon","A Jack Ryan Novel, Book 20","Marc Cameron","Scott Brick",790,2020-11-17,"English",4.5,754,35,"https://www.audible.com/pd/Tom-Clancy-Shadow-of-the-Dragon-Audiobook/0593287371?ref=a_adblbests_c3_lProduct_4_12&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=RBCB1SJQQ5RZZP1FD3N0"
"73","Dare to Lead","Brave Work. Tough Conversations. Whole Hearts.","Brené Brown","Brené Brown",490,2018-10-09,"English",4.5,20466,24.5,"https://www.audible.com/pd/Dare-to-Lead-Audiobook/B07DJYBXNC?ref=a_adblbests_c3_lProduct_4_13&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=RBCB1SJQQ5RZZP1FD3N0"
