"Rank","Title","Subtitle","Author","Narrator","Length","Release","Language","Stars","Ratings","Price","URL"
"73","Dare to Lead","Brave Work. Tough Conversations. Whole Hearts.","Brené Brown","Brené Brown","8 hrs and 10 mins","10-09-18","English","4.5 out of 5 stars","20,466 ratings","$24.50","https://www.audible.com/pd/Dare-to-Lead-Audiobook/B07DJYBXNC?ref=a_adblbests_c3_lProduct_4_13&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=RBCB1SJQQ5RZZP1FD3N0"
"74","The Things We Cannot Say",NA,"Kelly Rimmer","Ann Marie Gideon, Nancy Peterson","13 hrs and 42 mins","03-19-19","English","5 out of 5 stars","20,482 ratings","$31.93","https://www.audible.com/pd/The-Things-We-Cannot-Say-Audiobook/B07MBBHPQ5?ref=a_adblbests_c3_lProduct_4_14&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=RBCB1SJQQ5RZZP1FD3N0"
"75","American Dirt (Oprah's Book Club)","A Novel","Jeanine Cummins","Yareli Arizmendi","16 hrs and 43 mins","01-21-20","English","4.5 out of 5 stars","18,255 ratings","$27.99","https://www.audible.com/pd/American-Dirt-Oprahs-Book-Club-Audiobook/1250260604?ref=a_adblbests_c3_lProduct_4_15&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=RBCB1SJQQ5RZZP1FD3N0"
"76","I Can't Make This Up","Life Lessons","Neil Strauss - contributor, Kevin Hart","Kevin Hart","11 hrs and 15 mins","06-06-17","English","4.5 out of 5 stars","47,126 ratings","$29.95","https://www.audible.com/pd/I-Cant-Make-This-Up-Audiobook/B06VX4GHHG?ref=a_adblbests_c3_lProduct_4_16&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=RBCB1SJQQ5RZZP1FD3N0"
"77","The Silent Patient",NA,"Alex Michaelides","Jack Hawkins, Louise Brealey","8 hrs and 43 mins","02-05-19","English","4.5 out of 5 stars","51,201 ratings","$27.99","https://www.audible.com/pd/The-Silent-Patient-Audiobook/1250317533?ref=a_adblbests_c3_lProduct_4_17&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=RBCB1SJQQ5RZZP1FD3N0"
"78","The Ickabog",NA,"J.K. Rowling","Stephen Fry","7 hrs and 52 mins","11-10-20","English","4.5 out of 5 stars","889 ratings","$24.99","https://www.audible.com/pd/The-Ickabog-Audiobook/B08D9T16JZ?ref=a_adblbests_c3_lProduct_4_18&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=RBCB1SJQQ5RZZP1FD3N0"
"79","Outlander","Outlander, Book 1","Diana Gabaldon","Davina Porter","32 hrs and 38 mins","07-13-06","English","4.5 out of 5 stars","65,731 ratings","$34.99","https://www.audible.com/pd/Outlander-Audiobook/B002V1CJ8W?ref=a_adblbests_c3_lProduct_4_19&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=RBCB1SJQQ5RZZP1FD3N0"
"80","The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich (Expanded and Updated)",NA,"Timothy Ferriss","Ray Porter","13 hrs and 1 min","12-28-08","English","4.5 out of 5 stars","17,606 ratings","$23.07","https://www.audible.com/pd/The-4-Hour-Workweek-Escape-9-5-Live-Anywhere-and-Join-the-New-Rich-Expanded-and-Updated-Audiobook/B0031AS3BE?ref=a_adblbests_c3_lProduct_4_20&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=RBCB1SJQQ5RZZP1FD3N0"
"81","Breath","The New Science of a Lost Art","James Nestor","James Nestor","7 hrs and 18 mins","05-26-20","English","5 out of 5 stars","2,766 ratings","$24.50","https://www.audible.com/pd/Breath-Audiobook/0593211510?ref=a_adblbests_c3_lProduct_5_1&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=V4PYXJ3WZHJHVHECDSDW"
"82","The Hobbit",NA,"J. R. R. Tolkien","Rob Inglis","11 hrs and 5 mins","10-09-12","English","4.5 out of 5 stars","51,519 ratings","$27.99","https://www.audible.com/pd/The-Hobbit-Audiobook/B0099RKI5W?ref=a_adblbests_c3_lProduct_5_2&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=V4PYXJ3WZHJHVHECDSDW"
"83","Badass Habits","Cultivate the Awareness, Boundaries, and Daily Upgrades You Need to Make Them Stick","Jen Sincero","Jen Sincero","4 hrs and 51 mins","12-01-20","English","5 out of 5 stars","65 ratings","$24.50","https://www.audible.com/pd/Badass-Habits-Audiobook/1984886169?ref=a_adblbests_c3_lProduct_5_3&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=V4PYXJ3WZHJHVHECDSDW"
"84","Clanlands","Whisky, Warfare, and a Scottish Adventure Like No Other","Sam Heughan, Graham McTavish, Diana Gabaldon - foreword","Graham McTavish, Sam Heughan, Diana Gabaldon - foreword","10 hrs and 22 mins","11-03-20","English","5 out of 5 stars","1,574 ratings","$21.81","https://www.audible.com/pd/Clanlands-Audiobook/1529342015?ref=a_adblbests_c3_lProduct_5_4&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=V4PYXJ3WZHJHVHECDSDW"
"85","Heaven's River","Bobiverse, Book 4","Dennis E. Taylor","Ray Porter","16 hrs and 57 mins","09-24-20","English","5 out of 5 stars","17,100 ratings","$39.95","https://www.audible.com/pd/Heavens-River-Audiobook/B088C4DBYP?ref=a_adblbests_c3_lProduct_5_5&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=V4PYXJ3WZHJHVHECDSDW"
"86","The 10X Rule","The Only Difference Between Success and Failure","Grant Cardone","Grant Cardone","7 hrs and 24 mins","07-19-11","English","4.5 out of 5 stars","38,056 ratings","$20.99","https://www.audible.com/pd/The-10X-Rule-Audiobook/B005DF6XHQ?ref=a_adblbests_c3_lProduct_5_6&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=V4PYXJ3WZHJHVHECDSDW"
"87","Educated","A Memoir","Tara Westover","Julia Whelan","12 hrs and 10 mins","02-20-18","English","5 out of 5 stars","105,189 ratings","$28.00","https://www.audible.com/pd/Educated-Audiobook/B075F8MBMQ?ref=a_adblbests_c3_lProduct_5_7&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=V4PYXJ3WZHJHVHECDSDW"
"88","My Own Words",NA,"Ruth Bader Ginsburg, Mary Hartnett, Wendy W. Williams","Linda Lavin","13 hrs and 16 mins","10-04-16","English","4.5 out of 5 stars","2,845 ratings","$24.49","https://www.audible.com/pd/My-Own-Words-Audiobook/B01K3KUJ5C?ref=a_adblbests_c3_lProduct_5_8&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=V4PYXJ3WZHJHVHECDSDW"
"89","The Sentinel","Jack Reacher, Book 25","Lee Child, Andrew Child","Scott Brick","10 hrs and 39 mins","10-27-20","English","4.5 out of 5 stars","4,514 ratings","$31.50","https://www.audible.com/pd/The-Sentinel-Audiobook/059333972X?ref=a_adblbests_c3_lProduct_5_9&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=V4PYXJ3WZHJHVHECDSDW"
"90","The Total Money Makeover","A Proven Plan for Financial Fitness","Dave Ramsey","Dave Ramsey","3 hrs and 41 mins","11-07-03","English","4.5 out of 5 stars","36,146 ratings","$20.52","https://www.audible.com/pd/The-Total-Money-Makeover-Audiobook/B002UUKIR8?ref=a_adblbests_c3_lProduct_5_10&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=V4PYXJ3WZHJHVHECDSDW"
"91","The Handmaid's Tale: Special Edition",NA,"Margaret Atwood, Valerie Martin - essay","Claire Danes, full cast, Margaret Atwood, Tim Gerard Reynolds","12 hrs and 6 mins","04-04-17","English","4.5 out of 5 stars","32,853 ratings","$29.95","https://www.audible.com/pd/The-Handmaids-Tale-Special-Edition-Audiobook/B06XFW9YZ5?ref=a_adblbests_c3_lProduct_5_11&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=V4PYXJ3WZHJHVHECDSDW"
"92","Range","Why Generalists Triumph in a Specialized World","David Epstein","Will Damron","10 hrs and 17 mins","05-28-19","English","4.5 out of 5 stars","5,618 ratings","$28.00","https://www.audible.com/pd/Range-Audiobook/1984888439?ref=a_adblbests_c3_lProduct_5_12&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=V4PYXJ3WZHJHVHECDSDW"
"93","Writing Prompt Journal","The Self-Exploration Way to Make Your Every Day a Masterpiece - A Journey of 201 Thought-Provoking Questions for Self-Discovery & Building Trust to Find Your Bliss","Jason Dyer","Cliff Weldon","5 hrs and 15 mins","07-28-20","English","5 out of 5 stars","130 ratings","$19.95","https://www.audible.com/pd/Writing-Prompt-Journal-Audiobook/B08DRVVF5G?ref=a_adblbests_c3_lProduct_5_13&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=V4PYXJ3WZHJHVHECDSDW"
"94","Maybe You Should Talk to Someone","A Therapist, HER Therapist, and Our Lives Revealed","Lori Gottlieb","Brittany Pressley","14 hrs and 21 mins","04-02-19","English","4.5 out of 5 stars","31,142 ratings","$34.95","https://www.audible.com/pd/Maybe-You-Should-Talk-to-Someone-Audiobook/B07NLL95S4?ref=a_adblbests_c3_lProduct_5_14&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=V4PYXJ3WZHJHVHECDSDW"
"95","The Return of the King","Book Three in the Lord of the Rings Trilogy","J. R. R. Tolkien","Rob Inglis","18 hrs and 19 mins","10-09-12","English","5 out of 5 stars","20,034 ratings","$34.99","https://www.audible.com/pd/The-Return-of-the-King-Audiobook/B009ABIN72?ref=a_adblbests_c3_lProduct_5_15&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=V4PYXJ3WZHJHVHECDSDW"
"96","Thinking, Fast and Slow",NA,"Daniel Kahneman","Patrick Egan","20 hrs and 2 mins","10-25-11","English","4.5 out of 5 stars","15,432 ratings","$35.00","https://www.audible.com/pd/Thinking-Fast-and-Slow-Audiobook/B005TKKCWC?ref=a_adblbests_c3_lProduct_5_16&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=V4PYXJ3WZHJHVHECDSDW"
"97","The Tales of Beedle the Bard",NA,"J.K. Rowling","Warwick Davis, Noma Dumezweni, Jason Isaacs, Jude Law, Evanna Lynch, Sally Mortemore, Bonnie Wright","1 hr and 35 mins","03-31-20","English","4.5 out of 5 stars","15,730 ratings","$14.95","https://www.audible.com/pd/The-Tales-of-Beedle-the-Bard-Audiobook/1781103798?ref=a_adblbests_c3_lProduct_5_17&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=V4PYXJ3WZHJHVHECDSDW"
"98","Oathbringer",NA,"Brandon Sanderson","Kate Reading, Michael Kramer","55 hrs and 5 mins","11-14-17","English","5 out of 5 stars","44,518 ratings","$66.49","https://www.audible.com/pd/Oathbringer-Audiobook/B0718Z5K4C?ref=a_adblbests_c3_lProduct_5_18&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=V4PYXJ3WZHJHVHECDSDW"
"99","The Dutch House","A Novel","Ann Patchett","Tom Hanks","9 hrs and 53 mins","09-24-19","English","4.5 out of 5 stars","37,431 ratings","$30.79","https://www.audible.com/pd/The-Dutch-House-Audiobook/0062963708?ref=a_adblbests_c3_lProduct_5_19&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=V4PYXJ3WZHJHVHECDSDW"
"100","Words of Radiance","The Stormlight Archive, Book 2","Brandon Sanderson","Michael Kramer, Kate Reading","48 hrs and 13 mins","03-04-14","English","5 out of 5 stars","61,242 ratings","$55.99","https://www.audible.com/pd/Words-of-Radiance-Audiobook/B00HWF0MHW?ref=a_adblbests_c3_lProduct_5_20&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=V4PYXJ3WZHJHVHECDSDW"
